13853: (1278541708, -1) (0, 0) (0, 0) 
13877: (0, 0) (0, 0) (1003286300, 1) 
13896: (0, 0) (0, 0) (2911037724, 1) 
14064: (0, 0) (624438151, 1) (0, 0) 
14185: (0, 0) (0, 0) (2219457807, 3) 
14214: (0, 0) (1011755598, 1) (0, 0) 
14224: (0, 0) (1207612711, -1) (0, 0) 
14309: (1895441158, -2) (0, 0) (0, 0) 
14433: (2880323984, -3) (0, 0) (0, 0) 
14443: (1116344506, -6) (0, 0) (0, 0) 
14472: (4267930488, 6) (0, 0) (0, 0) 
14557: (0, 0) (0, 0) (786862445, 1) 
14560: (0, 0) (0, 0) (3889328709, -5) 
14571: (0, 0) (0, 0) (614727539, 1) 
14598: (0, 0) (0, 0) (2873277188, -2) 
14696: (0, 0) (2295186138, -2) (0, 0) 
14732: (1735768247, 1) (0, 0) (3597203018, -1) 
14779: (0, 0) (0, 0) (1447691914, 1) 
14808: (0, 0) (0, 0) (247021305, 2) 
14859: (0, 0) (0, 0) (3612116313, -2) 
14883: (0, 0) (4022457728, 5) (0, 0) 
14936: (0, 0) (1330649983, -1) (0, 0) 
14942: (0, 0) (2007428832, 2) (0, 0) 
14966: (0, 0) (3093209271, -1) (0, 0) 
14973: (517914411, -1) (0, 0) (0, 0) 
15168: (0, 0) (1133168246, 1) (0, 0) 
15171: (0, 0) (0, 0) (1224753751, 1) 
15183: (237154831, -1) (0, 0) (0, 0) 
15253: (0, 0) (682651785, 2) (0, 0) 
15361: (0, 0) (3874923380, -1) (0, 0) 
15431: (0, 0) (693107293, -4) (0, 0) 
15604: (0, 0) (0, 0) (3859318997, -1) 
15624: (0, 0) (3542328436, -1) (0, 0) 
15714: (0, 0) (365700463, 1) (0, 0) 
15791: (0, 0) (2226761114, -1) (0, 0) 
15805: (0, 0) (0, 0) (107278496, 8) 
15962: (1216887582, 1) (0, 0) (0, 0) 
15985: (1097579641, -1) (0, 0) (0, 0) 
15992: (0, 0) (2509213985, -5) (0, 0) 
16053: (4175497886, -1) (0, 0) (0, 0) 
16061: (0, 0) (0, 0) (844980338, -1) 
16085: (0, 0) (1331775334, -1) (0, 0) 
16115: (0, 0) (0, 0) (3454164853, -1) 
16150: (2351165128, 2) (0, 0) (0, 0) 
16214: (4071938678, 1) (0, 0) (0, 0) 
16244: (74684251, 1) (0, 0) (0, 0) 
16281: (0, 0) (0, 0) (3656696759, 1) 
16284: (0, 0) (0, 0) (1503424631, -1) 
16331: (0, 0) (0, 0) (3092388054, -1) 
16385: (0, 0) (0, 0) (1218815494, -1) 
16416: (0, 0) (0, 0) (3065441798, 1) 
16453: (0, 0) (0, 0) (1781124311, 1) 
16489: (0, 0) (0, 0) (3009492558, -5) 
16522: (0, 0) (504556180, 2) (0, 0) 
16556: (0, 0) (0, 0) (2051889892, -2) 
16557: (0, 0) (0, 0) (3799550373, -6) 
16572: (0, 0) (0, 0) (2980489389, 1) 
16651: (0, 0) (0, 0) (3038157890, -1) 
16704: (0, 0) (131148684, 8) (0, 0) 
16784: (0, 0) (0, 0) (919330407, -1) 
16786: (2737028208, 4) (0, 0) (0, 0) 
16802: (750452955, 3) (0, 0) (0, 0) 
16805: (0, 0) (2017577086, 1) (0, 0) 
16851: (1774207700, -1) (0, 0) (0, 0) 
16852: (0, 0) (0, 0) (1641646887, -2) 
16905: (2704834761, -1) (0, 0) (0, 0) 
17049: (0, 0) (3665832815, -1) (0, 0) 
17135: (0, 0) (3039506468, -1) (0, 0) 
17140: (3525512112, 1) (0, 0) (0, 0) 
17247: (3102634066, -3) (0, 0) (0, 0) 
17365: (0, 0) (0, 0) (600271986, -1) 
17392: (0, 0) (2892467066, -1) (0, 0) 
17442: (521983889, 2) (0, 0) (0, 0) 
17456: (0, 0) (4160031289, -1) (0, 0) 
17504: (0, 0) (2109501024, -1) (0, 0) 
17547: (55308428, -2) (0, 0) (2714906660, 1) 
17602: (0, 0) (2911777380, 2) (0, 0) 
17652: (0, 0) (0, 0) (677817015, -1) 
17692: (0, 0) (2466101031, 1) (0, 0) 
17830: (0, 0) (0, 0) (2683587294, -2) 
17855: (0, 0) (0, 0) (2231404550, -1) 
17899: (1837224466, -1) (0, 0) (0, 0) 
17934: (0, 0) (2511613988, -1) (4001254745, -1) 
18007: (562865268, -1) (0, 0) (0, 0) 
18237: (0, 0) (0, 0) (2803183652, 1) 
18332: (0, 0) (0, 0) (1591236981, -1) 
18341: (0, 0) (3775198612, -1) (0, 0) 
18378: (0, 0) (1943663474, -1) (0, 0) 
18475: (0, 0) (0, 0) (4199699053, -1) 
18501: (0, 0) (1099228373, 1) (0, 0) 
18609: (2986247907, -2) (0, 0) (0, 0) 
18646: (0, 0) (4065547556, -1) (0, 0) 
18647: (2938241658, -1) (0, 0) (0, 0) 
18757: (1754695942, -1) (0, 0) (0, 0) 
18762: (3614027847, 3) (0, 0) (0, 0) 
18804: (436633556, 1) (0, 0) (0, 0) 
18836: (1028117463, 1) (0, 0) (0, 0) 
18880: (0, 0) (0, 0) (2733519873, -1) 
18934: (0, 0) (2898067698, 2) (0, 0) 
19085: (0, 0) (2295929471, -1) (0, 0) 
19181: (0, 0) (0, 0) (701581000, -2) 
19209: (0, 0) (870242072, -2) (0, 0) 
19326: (1901339752, 1) (0, 0) (0, 0) 
19359: (0, 0) (243763959, -2) (0, 0) 
19435: (0, 0) (453238328, -2) (0, 0) 
19562: (1535248922, 2) (0, 0) (0, 0) 
19603: (0, 0) (0, 0) (3665322061, 2) 
19738: (0, 0) (3835965476, 1) (0, 0) 
19745: (0, 0) (0, 0) (2868454767, -1) 
19845: (0, 0) (0, 0) (377162835, -7) 
19864: (0, 0) (1567335284, 1) (0, 0) 
19868: (0, 0) (0, 0) (3428813198, 4) 
19949: (769063095, -1) (0, 0) (0, 0) 
20014: (0, 0) (0, 0) (794986963, -7) 
20061: (0, 0) (1429861583, -1) (0, 0) 
20126: (3428712826, 1) (0, 0) (0, 0) 
20129: (0, 0) (2268684810, -1) (0, 0) 
20216: (0, 0) (0, 0) (2397528271, 1) 
20251: (0, 0) (3529977892, 1) (0, 0) 
20403: (0, 0) (3867669383, -1) (0, 0) 
20509: (0, 0) (1530980380, 1) (0, 0) 
20543: (878961520, -1) (0, 0) (0, 0) 
20546: (0, 0) (0, 0) (1698508836, 1) 
20592: (0, 0) (2052307933, -1) (0, 0) 
20642: (1944283731, 2) (0, 0) (0, 0) 
20708: (0, 0) (3132876421, -2) (0, 0) 
20865: (0, 0) (3808038714, 1) (0, 0) 
21036: (0, 0) (1893311604, -1) (0, 0) 
21156: (0, 0) (3650905805, -1) (0, 0) 
21301: (0, 0) (0, 0) (3542044372, 1) 
21371: (0, 0) (0, 0) (385347954, 1) 
21390: (0, 0) (3903383652, 1) (0, 0) 
21412: (0, 0) (0, 0) (395429494, -1) 
21424: (1574363300, 6) (0, 0) (0, 0) 
21440: (1086785415, 1) (0, 0) (0, 0) 
21454: (0, 0) (3299969316, -1) (0, 0) 
21480: (3009459062, 1) (0, 0) (0, 0) 
21484: (1353894273, 1) (0, 0) (0, 0) 
21541: (0, 0) (0, 0) (1549991993, 1) 
21813: (256834231, -1) (0, 0) (0, 0) 
21870: (0, 0) (317383305, 1) (0, 0) 
21910: (0, 0) (0, 0) (1598072204, 1) 
21942: (0, 0) (619855280, -2) (0, 0) 
21947: (1951395356, -1) (0, 0) (0, 0) 
21983: (0, 0) (0, 0) (852532438, 2) 
