(9539846, 1)(2005132580, 4)(3719436485, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(523283866, 1)(2955666800, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(215710675, 1)(1528332433, 1)(3380777222, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(1682049426, 7)(2598352167, 1)(2892319608, 1)(2949347727, 2)(0, 0)(0, 0)(0, 0)
(3844794652, 1)(3868705177, 6)(4056951909, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(1652807532, 1)(2728626365, 1)(4139257714, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(584256057, 1)(2546249330, 1)(3757712751, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(333534071, 1)(1007215469, 1)(2796668022, 1)(3042478628, 3)(0, 0)(0, 0)(0, 0)
(1299869254, 4)(3716106868, 2)(3901780559, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(1424351812, 1)(1490527348, 1)(2554548595, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(953815339, 2)(2429693988, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(199626615, 1)(2200185730, 1)(2742217927, 1)(3498263669, 2)(0, 0)(0, 0)(0, 0)
(165800988, 1)(2862120821, 2)(3820428420, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(474488978, 3)(1260881728, 1)(3944723833, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(218939801, 1)(927024757, 1)(2776597862, 3)(0, 0)(0, 0)(0, 0)(0, 0)
(789579995, 1)(1960610340, 1)(2285763654, 4)(3740209669, 2)(0, 0)(0, 0)(0, 0)
(205003647, 2)(1038298314, 1)(4103726445, 2)(4167912834, 1)(0, 0)(0, 0)(0, 0)
(144245859, 1)(882478435, 1)(1062490736, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(9765506, 1)(119801805, 2)(573281999, 4)(3574967501, 2)(0, 0)(0, 0)(0, 0)
(156175921, 1)(1956285795, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(51985349, 1)(217915266, 1)(2504583708, 1)(2513684114, 3)(4075748388, 1)(0, 0)(0, 0)
(523765028, 2)(2347637119, 1)(2613207678, 1)(3225921485, 1)(0, 0)(0, 0)(0, 0)
(1743213474, 1)(2721595266, 1)(3618685337, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(1288778848, 3)(2348620902, 5)(3761153140, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(1774762640, 1)(2810476376, 1)(4032007276, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(1461522295, 2)(2037322693, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(1110985546, 2)(2882310509, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(102194286, 1)(344854849, 2)(458956801, 3)(0, 0)(0, 0)(0, 0)(0, 0)
(1165023606, 1)(1980282663, 1)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(860843717, 2)(1654211329, 1)(4089992017, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(1793774375, 1)(2024631588, 1)(3726960263, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(1061777781, 1)(1849088367, 1)(3698528613, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(1943540184, 1)(2425888911, 1)(3711682945, 2)(3862437954, 1)(4116533540, 5)(0, 0)(0, 0)
(1174182699, 2)(3750473074, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(359542820, 2)(1712617172, 1)(2283693519, 2)(3403783802, 1)(0, 0)(0, 0)(0, 0)
(7443591, 3)(2151811474, 2)(4044494219, 9)(0, 0)(0, 0)(0, 0)(0, 0)
(120637739, 1)(641395826, 1)(879397754, 4)(0, 0)(0, 0)(0, 0)(0, 0)
(1070439956, 11)(2837620295, 3)(3076353828, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(21304077, 1)(2549995116, 2)(3481059653, 3)(0, 0)(0, 0)(0, 0)(0, 0)
(401816168, 1)(901648770, 2)(1831189848, 7)(2252291129, 3)(0, 0)(0, 0)(0, 0)
(1598863993, 1)(2769841364, 4)(3096971383, 4)(0, 0)(0, 0)(0, 0)(0, 0)
(3484649734, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(499652914, 1)(1901290336, 4)(3551600562, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(1840055332, 3)(2978522228, 2)(3835736523, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(335415926, 1)(981257543, 1)(1814578789, 1)(2584917101, 1)(2778173702, 1)(0, 0)(0, 0)
(69084559, 3)(524090438, 1)(3734705097, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(1512365006, 1)(2592056782, 1)(3099729093, 2)(0, 0)(0, 0)(0, 0)(0, 0)
(2415210121, 3)(2473438157, 3)(3384532754, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(1071300279, 1)(2708878189, 1)(3816186720, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(1821695960, 4)(4153200228, 4)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(171643661, 1)(1704940500, 1)(1760916428, 1)(4083280156, 1)(4212369871, 1)(0, 0)(0, 0)
(932875619, 2)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(911575844, 1)(1238262833, 1)(2016349058, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(344281558, 2)(2559419508, 5)(4101166146, 1)(0, 0)(0, 0)(0, 0)(0, 0)
(1729472975, 1)(2464757122, 1)(2762572423, 1)(3295470957, 1)(0, 0)(0, 0)(0, 0)
(1903202084, 1)(3891296112, 3)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(385239407, 1)(886744491, 2)(3133578802, 1)(4162287758, 1)(0, 0)(0, 0)(0, 0)
(1337908274, 3)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
(8192329, 2)(1109012516, 1)(3910643484, 1)(0, 0)(0, 0)(0, 0)(0, 0)
